metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Приморская', 'Василеостровская', 'Крестовский остров'], 'Underground time': ['21', '4', '6'], 'Transport type': ['legs', 'car', 'car']}",1,Студия,26.0,18.0,5.0,9,2021,7900000
"{'Underground name': ['Комендантский проспект', 'Старая Деревня', 'Пионерская'], 'Underground time': ['7', '11', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,31.8,15.5,10.4,4,2020,7900000
"{'Underground name': ['Улица Дыбенко', 'Проспект Большевиков', 'Ломоносовская'], 'Underground time': ['19', '25', '8'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,50.6,30.6,7.1,6,1977,8250000
"{'Underground name': ['Звездная', 'Купчино', 'Шушары'], 'Underground time': ['9', '9', '11'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,68.8,32.4,14.8,6,2017,7825000
"{'Underground name': ['Ладожская', 'Новочеркасская', 'Площадь Александра Невского'], 'Underground time': ['9', '4', '6'], 'Transport type': ['legs', 'car', 'car']}",0,1-комнатная,37.42,14.9,17.5,2,2025,8291523
"{'Underground name': ['Международная', 'Проспект Славы', 'Бухарестская'], 'Underground time': ['16', '23', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,45.8,28.2,8.4,8,1969,7900000
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['6', '7', '8'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,59.1,45.5,6.2,4,1966,8600000
"{'Underground name': ['Московская', 'Звездная', 'Ленинский проспект'], 'Underground time': ['8', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,45.0,29.0,6.0,4,1962,7800000
"{'Underground name': ['Удельная', 'Площадь Мужества', 'Озерки'], 'Underground time': ['15', '6', '6'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,34.8,21.2,7.0,1,1978,7990000
"{'Underground name': ['Балтийская', 'Фрунзенская', 'Технологический институт'], 'Underground time': ['9', '16', '19'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,33.6,19.2,6.2,2,1880,8350000
"{'Underground name': ['Улица Дыбенко', 'Проспект Большевиков', 'Новочеркасская'], 'Underground time': ['12', '14', '9'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,51.14,33.0,6.7,9,1974,8500000
"{'Underground name': ['Ладожская', 'Улица Дыбенко', 'Новочеркасская'], 'Underground time': ['9', '10', '11'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,61.2,42.0,7.0,12,1986,8500000
"{'Underground name': ['Елизаровская', 'Ломоносовская', 'Пролетарская'], 'Underground time': ['13', '21', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,52.2,31.7,5.7,2,1958,7899999
