flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
0,2-комнатная,53.6,27.6,7.7,7,18950601,Балтийская,5,пешком,0,0
1,4-комнатная,91.0,56.0,25.0,1,40800000,Чернышевская,17,пешком,120,0
1,2-комнатная,55.0,34.1,8.1,5,10990000,Елизаровская,5,пешком,67,0
1,Студия,18.2,11.7,1.5,1,3499000,Пионерская,13,пешком,51,0
1,1-комнатная,61.5,35.1,18.6,4,18800000,Спортивная,6,пешком,11,0
1,1-комнатная,36.3,18.1,10.8,11,8200000,Комендантский проспект,9,пешком,25,0
1,1-комнатная,40.4,11.6,17.0,6,24846000,Петроградская,8,пешком,2,0
1,1-комнатная,66.6,15.4,29.3,3,21854124,Пионерская,5,на машине,4,0
0,2-комнатная,52.76,23.6,17.5,3,25817127,Чкаловская,8,пешком,0,1
1,2-комнатная,53.7,30.2,8.0,14,8750000,Купчино,13,пешком,46,0
0,2-комнатная,61.4,20.5,15.0,9,18005550,Лесная,11,пешком,2,0
1,1-комнатная,33.66,9.1,11.1,11,4799000,Купчино,9,на машине,3,0
1,2-комнатная,71.0,45.5,10.2,3,21950000,Спасская,15,пешком,165,0
1,1-комнатная,42.0,13.6,13.5,6,18900000,Удельная,22,пешком,2,0
1,1-комнатная,39.3,14.1,12.7,3,19118473,Крестовский остров,3,на машине,4,0
0,2-комнатная,50.6,26.8,12.3,2,40332865,Чкаловская,18,пешком,0,1
0,Студия,24.49,11.7,3.9,11,3278226,Рыбацкое,19,на машине,0,1
1,1-комнатная,34.68,18.1,6.0,3,3750000,Рыбацкое,17,на машине,66,0
0,Студия,19.9,8.9,5.0,4,3341210,Академическая,19,на машине,0,0
0,Студия,20.4,9.1,5.0,1,3166080,Академическая,16,на машине,0,1
0,Студия,22.86,11.3,3.0,3,3210984,Рыбацкое,18,на машине,0,1
0,Студия,19.9,9.2,5.0,13,3293450,Академическая,15,на машине,5,0
0,Студия,20.6,9.0,5.0,2,3394880,Академическая,19,на машине,0,0
0,Студия,21.33,10.5,3.4,2,3051220,Рыбацкое,19,на машине,0,1
0,Студия,26.89,13.6,3.2,11,3451545,Рыбацкое,18,на машине,0,1
0,Студия,26.25,12.7,4.2,1,3199484,Рыбацкое,19,на машине,0,1
